Sample	Grouping	Source	Condition	Time	source
32NR	A21NR19	1.1	Untreated	t24	1.1
34NR	A21NR19	1.2	Untreated	t24	1.2
36NR	A21NR19	1.3	Untreated	t24	1.3
38NR	A21NR18	2.1	NP	t24	2.1
40NR	A21NR18	2.2	NP	t24	2.2
42NR	A21NR18	2.3	NP	t24	2.3
44NR	A21NR18	2.4	NP	t24	2.4
46NR	A21NR18	5.1	NM102-NP	t24	5.1
48NR	A21NR18	5.2	NM102-NP	t24	5.2
50NR	A21NR18	5.3	NM102-NP	t24	5.3
52NR	A21NR18	5.4	NM102-NP	t24	5.4
54NR	A21NR18	1.1	Untreated	t24	1.1
55NR	A21NR18	1.2	Untreated	t24	1.2
61NR	A21NR17	1.1	Untreated	t24	1.1
63NR	A21NR17	1.2	Untreated	t24	1.2
73NR	A21NR16	2.1	NP	t24	2.1
75NR	A21NR16	2.2	NP	t24	2.2
77NR	A21NR16	2.3	NP	t24	2.3
79NR	A21NR16	5.1	NM102-NP	t24	5.1
81NR	A21NR16	5.2	NM102-NP	t24	5.2
83NR	A21NR16	5.3	NM102-NP	t24	5.3
